epoch,epoch_val_accuracy,epoch_val_loss,step,train_loss,val_accuracy,val_loss
224,0.4375,1.2699452638626099,2474,,0.4375,1.2699452638626099
225,0.484375,1.255993366241455,2485,,0.484375,1.255993366241455
226,0.6171875,1.1666404008865356,2496,,0.6171875,1.1666404008865356
227,,,2499,0.7487905025482178,,
227,0.5859375,1.1466249227523804,2507,,0.5859375,1.1466249227523804
228,0.4609375,1.214911937713623,2518,,0.4609375,1.214911937713623
229,0.609375,1.1984432935714722,2529,,0.609375,1.1984432935714722
230,0.6328125,1.149108648300171,2540,,0.6328125,1.149108648300171
231,,,2549,0.7247623801231384,,
231,0.390625,1.366132378578186,2551,,0.390625,1.366132378578186
232,0.34375,1.3538216352462769,2562,,0.34375,1.3538216352462769
233,0.4765625,1.2142386436462402,2573,,0.4765625,1.2142386436462402
234,0.4609375,1.264051079750061,2584,,0.4609375,1.264051079750061
235,0.4453125,1.3182309865951538,2595,,0.4453125,1.3182309865951538
236,,,2599,0.8254696726799011,,
236,0.515625,1.175344467163086,2606,,0.515625,1.175344467163086
237,0.5546875,1.1722781658172607,2617,,0.5546875,1.1722781658172607
238,0.609375,1.0800933837890625,2628,,0.609375,1.0800933837890625
239,0.625,1.147679328918457,2639,,0.625,1.147679328918457
240,,,2649,0.7403380274772644,,
240,0.5078125,1.2187190055847168,2650,,0.5078125,1.2187190055847168
241,0.484375,1.3410674333572388,2661,,0.484375,1.3410674333572388
242,0.4921875,1.2745755910873413,2672,,0.4921875,1.2745755910873413
243,0.328125,1.460578441619873,2683,,0.328125,1.460578441619873
244,0.4609375,1.2436732053756714,2694,,0.4609375,1.2436732053756714
245,,,2699,0.7554018497467041,,
245,0.5703125,1.1653112173080444,2705,,0.5703125,1.1653112173080444
246,0.609375,1.0825659036636353,2716,,0.609375,1.0825659036636353
247,0.546875,1.157724142074585,2727,,0.546875,1.157724142074585
248,0.6328125,1.0937025547027588,2738,,0.6328125,1.0937025547027588
249,,,2749,0.8340864181518555,,
249,0.625,1.098528265953064,2749,,0.625,1.098528265953064
250,0.5625,1.1801143884658813,2760,,0.5625,1.1801143884658813
251,0.5234375,1.2974798679351807,2771,,0.5234375,1.2974798679351807
252,0.5625,1.3093619346618652,2782,,0.5625,1.3093619346618652
253,0.328125,1.328873872756958,2793,,0.328125,1.328873872756958
254,,,2799,0.7742317914962769,,
254,0.4296875,1.2908860445022583,2804,,0.4296875,1.2908860445022583
255,0.4453125,1.2202032804489136,2815,,0.4453125,1.2202032804489136
256,0.5859375,1.1417526006698608,2826,,0.5859375,1.1417526006698608
257,0.625,1.1390506029129028,2837,,0.625,1.1390506029129028
258,0.625,1.1191045045852661,2848,,0.625,1.1191045045852661
259,,,2849,0.7299360036849976,,
259,0.5859375,1.239780068397522,2859,,0.5859375,1.239780068397522
260,0.5859375,1.115484356880188,2870,,0.5859375,1.115484356880188
261,0.46875,1.3205971717834473,2881,,0.46875,1.3205971717834473
262,0.4296875,1.338509202003479,2892,,0.4296875,1.338509202003479
263,,,2899,0.7631946206092834,,
263,0.375,1.3923200368881226,2903,,0.375,1.3923200368881226
264,0.53125,1.2121315002441406,2914,,0.53125,1.2121315002441406
265,0.609375,1.1472738981246948,2925,,0.609375,1.1472738981246948
266,0.546875,1.2232507467269897,2936,,0.546875,1.2232507467269897
267,0.609375,1.1731247901916504,2947,,0.609375,1.1731247901916504
268,,,2949,0.7474727034568787,,
268,0.328125,1.2902506589889526,2958,,0.328125,1.2902506589889526
269,0.546875,1.2169067859649658,2969,,0.546875,1.2169067859649658
270,0.53125,1.1982207298278809,2980,,0.53125,1.1982207298278809
271,0.46875,1.3510057926177979,2991,,0.46875,1.3510057926177979
272,,,2999,0.7883408069610596,,
272,0.375,1.367837905883789,3002,,0.375,1.367837905883789
273,0.4765625,1.2457700967788696,3013,,0.4765625,1.2457700967788696
274,0.4609375,1.2206910848617554,3024,,0.4609375,1.2206910848617554
275,0.609375,1.1591030359268188,3035,,0.609375,1.1591030359268188
276,0.6328125,1.1300110816955566,3046,,0.6328125,1.1300110816955566
277,,,3049,0.7641522288322449,,
277,0.65625,1.1832551956176758,3057,,0.65625,1.1832551956176758
278,0.6796875,1.1145994663238525,3068,,0.6796875,1.1145994663238525
279,0.640625,1.0943000316619873,3079,,0.640625,1.0943000316619873
280,0.5078125,1.1804020404815674,3090,,0.5078125,1.1804020404815674
281,,,3099,0.7629737854003906,,
281,0.4765625,1.3427411317825317,3101,,0.4765625,1.3427411317825317
282,0.421875,1.3111637830734253,3112,,0.421875,1.3111637830734253
283,0.4765625,1.2708295583724976,3123,,0.4765625,1.2708295583724976
284,0.53125,1.2070326805114746,3134,,0.53125,1.2070326805114746
285,0.53125,1.1554954051971436,3145,,0.53125,1.1554954051971436
286,,,3149,0.7188859581947327,,
286,0.5390625,1.1517353057861328,3156,,0.5390625,1.1517353057861328
287,0.578125,1.1631876230239868,3167,,0.578125,1.1631876230239868
288,0.6328125,1.1231313943862915,3178,,0.6328125,1.1231313943862915
289,0.625,1.0476853847503662,3189,,0.625,1.0476853847503662
290,,,3199,0.7030500769615173,,
290,0.5,1.188195824623108,3200,,0.5,1.188195824623108
291,0.5,1.3340672254562378,3211,,0.5,1.3340672254562378
292,0.3359375,1.3320202827453613,3222,,0.3359375,1.3320202827453613
293,0.484375,1.2285076379776,3233,,0.484375,1.2285076379776
294,0.4140625,1.3036127090454102,3244,,0.4140625,1.3036127090454102
295,,,3249,0.8170496225357056,,
295,0.578125,1.1783329248428345,3255,,0.578125,1.1783329248428345
296,0.6015625,1.1850714683532715,3266,,0.6015625,1.1850714683532715
297,0.6953125,1.13831627368927,3277,,0.6953125,1.13831627368927
298,0.609375,1.1760834455490112,3288,,0.609375,1.1760834455490112
299,,,3299,0.7390408515930176,,
299,0.5234375,1.2225841283798218,3299,,0.5234375,1.2225841283798218
300,0.640625,1.0544004440307617,3310,,0.640625,1.0544004440307617
301,0.3984375,1.3554326295852661,3321,,0.3984375,1.3554326295852661
302,0.359375,1.3476577997207642,3332,,0.359375,1.3476577997207642
303,0.4609375,1.3069521188735962,3343,,0.4609375,1.3069521188735962
304,,,3349,0.7454237937927246,,
304,0.5703125,1.2435061931610107,3354,,0.5703125,1.2435061931610107
305,0.5390625,1.2120810747146606,3365,,0.5390625,1.2120810747146606
306,0.5390625,1.1706358194351196,3376,,0.5390625,1.1706358194351196
307,0.65625,1.084989309310913,3387,,0.65625,1.084989309310913
308,0.5390625,1.1681673526763916,3398,,0.5390625,1.1681673526763916
309,,,3399,0.8177844882011414,,
